"Title","Authors","Editors","YearPublished","URL","DateAdded","Access type","Pub ID"
"A History of the County of Bedford: Volume 2","","Page, William","1908","https://www.british-history.ac.uk/vch/beds/vol2","2007-09-27T23:00:00","Free content","516"
"A History of the County of Bedford: Volume 3","","Page, William","1912","https://www.british-history.ac.uk/vch/beds/vol3","2006-02-13T00:00:00","Free content","276"
"A History of the County of Berkshire: Volume 2","","Ditchfield, P H;Page, William","1907","https://www.british-history.ac.uk/vch/berks/vol2","2005-06-29T23:00:00","Free content","250"
"A History of the County of Berkshire: Volume 3","","Ditchfield, P H;Page, William","1923","https://www.british-history.ac.uk/vch/berks/vol3","2006-04-06T00:00:00","Free content","300"
"A History of the County of Berkshire: Volume 4","","Page, William;Ditchfield, P H","1924","https://www.british-history.ac.uk/vch/berks/vol4","2007-09-20T00:00:00","Free content","517"
"A History of the County of Buckingham: Volume 1","","Page, William","1905","https://www.british-history.ac.uk/vch/bucks/vol1","2005-06-29T23:00:00","Free content","249"
"A History of the County of Buckingham: Volume 2","","Page, William","1908","https://www.british-history.ac.uk/vch/bucks/vol2","2007-09-20T23:00:00","Free content","518"
"A History of the County of Buckingham: Volume 3","","Page, William","1925","https://www.british-history.ac.uk/vch/bucks/vol3","2006-02-08T00:00:00","Free content","279"
"A History of the County of Buckingham: Volume 4","","Page, William","1927","https://www.british-history.ac.uk/vch/bucks/vol4","2007-09-20T00:00:00","Free content","519"
"A History of the County of Cambridge and the Isle of Ely: Volume 10, Cheveley, Flendish, Staine and Staploe Hundreds (North-Eastern Cambridgeshire)","Wareham, A F;Wright, A P M","","2002","https://www.british-history.ac.uk/vch/cambs/vol10","2004-06-25T00:00:00","Free content","70"
"A History of the County of Cambridge and the Isle of Ely: Volume 2","","Salzman, L F","1948","https://www.british-history.ac.uk/vch/cambs/vol2","2005-06-29T23:00:00","Free content","254"
"A History of the County of Cambridge and the Isle of Ely: Volume 3, the City and University of Cambridge","","Roach, J P C","1959","https://www.british-history.ac.uk/vch/cambs/vol3","2008-01-11T00:00:00","Free content","520"
